order_id,order_date,customer_id,product_id,region,quantity,unit_price,revenue
ORD-240701,2024-07-01,CUST-101,PROD-CHAIR,North,3,190.00,570.00
ORD-240702,2024-07-04,CUST-102,PROD-DESK,South,2,425.00,850.00
ORD-240703,2024-07-06,CUST-103,PROD-LAMP,East,5,40.00,200.00
ORD-240704,2024-07-08,CUST-104,PROD-MONITOR,West,3,280.00,840.00
ORD-240705,2024-07-10,CUST-105,PROD-KEYBOARD,North,4,75.00,300.00
ORD-240706,2024-07-12,CUST-106,PROD-DESK,South,1,425.00,425.00
ORD-240707,2024-07-14,CUST-107,PROD-MONITOR,East,2,280.00,560.00
ORD-240708,2024-07-16,CUST-108,PROD-CHAIR,West,2,190.00,380.00
ORD-240709,2024-07-18,CUST-109,PROD-LAMP,North,6,40.00,240.00
ORD-240710,2024-07-20,CUST-110,PROD-DESK,South,2,425.00,850.00
ORD-240711,2024-07-22,CUST-111,PROD-KEYBOARD,East,3,75.00,225.00
ORD-240712,2024-07-24,CUST-112,PROD-MONITOR,West,2,280.00,560.00
ORD-240713,2024-07-26,CUST-113,PROD-CHAIR,North,4,190.00,760.00
ORD-240714,2024-07-28,CUST-114,PROD-DESK,South,1,425.00,425.00
ORD-240715,2024-07-29,CUST-115,PROD-LAMP,East,4,40.00,160.00
ORD-240716,2024-07-31,CUST-116,PROD-MONITOR,West,1,280.00,280.00
ORD-240801,2024-08-02,CUST-101,PROD-CHAIR,North,2,190.00,380.00
ORD-240802,2024-08-04,CUST-117,PROD-DESK,South,1,425.00,425.00
ORD-240803,2024-08-06,CUST-103,PROD-LAMP,East,7,40.00,280.00
ORD-240804,2024-08-08,CUST-118,PROD-MONITOR,West,2,280.00,560.00
ORD-240805,2024-08-10,CUST-105,PROD-KEYBOARD,North,5,75.00,375.00
ORD-240806,2024-08-12,CUST-119,PROD-DESK,South,2,425.00,850.00
ORD-240807,2024-08-14,CUST-107,PROD-MONITOR,East,3,280.00,840.00
ORD-240808,2024-08-16,CUST-120,PROD-CHAIR,West,1,190.00,190.00
ORD-240809,2024-08-18,CUST-109,PROD-LAMP,North,3,40.00,120.00
ORD-240810,2024-08-20,CUST-121,PROD-DESK,South,1,425.00,425.00
ORD-240811,2024-08-22,CUST-111,PROD-KEYBOARD,East,6,75.00,450.00
ORD-240812,2024-08-24,CUST-122,PROD-MONITOR,West,1,280.00,280.00
ORD-240813,2024-08-26,CUST-113,PROD-CHAIR,North,3,190.00,570.00
ORD-240814,2024-08-28,CUST-123,PROD-DESK,South,2,425.00,850.00
ORD-240815,2024-08-29,CUST-115,PROD-LAMP,East,5,40.00,200.00
ORD-240816,2024-08-31,CUST-124,PROD-MONITOR,West,2,280.00,560.00
